Date,Close,High,Low,Open,Volume
,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
2006-06-02,11.029547691345215,11.910836039755276,10.778604671742876,11.910836039755276,24888289
2006-06-05,10.479860305786133,10.975772174253654,10.479860305786133,10.479860305786133,2890803
2006-06-06,9.95706558227539,9.95706558227539,9.95706558227539,9.95706558227539,614607
2006-06-07,9.461153030395508,9.461153030395508,9.461153030395508,9.461153030395508,383193
2006-06-08,8.989140510559082,8.989140510559082,8.989140510559082,8.989140510559082,37331
2006-06-09,8.54102611541748,8.54102611541748,8.54102611541748,8.54102611541748,1002615
2006-06-12,8.1138277053833,8.1138277053833,8.1138277053833,8.1138277053833,637011
2006-06-13,7.7105278968811035,7.7105278968811035,7.7105278968811035,7.7105278968811035,353534
2006-06-14,7.325150012969971,7.325150012969971,7.325150012969971,7.325150012969971,427988
2006-06-15,6.9606828689575195,6.9606828689575195,6.9606828689575195,6.9606828689575195,594278
2006-06-16,7.262414932250977,7.310213470442933,6.614145027503422,6.638044296599401,15173662
2006-06-19,7.626877307891846,7.626877307891846,7.468544696250577,7.626877307891846,1608259
2006-06-20,8.009268760681152,8.009268760681152,7.4087974362102385,7.791187201958452,3805211
2006-06-21,8.409584045410156,8.409584045410156,8.185527641366448,8.185527641366448,4247801
2006-06-22,8.09889030456543,8.830807468590054,7.991342876952225,8.806908205455164,14230169
2006-06-23,8.16461181640625,8.421529592614343,7.695586630839009,8.00627848297917,9154614
2006-06-26,7.865871429443359,8.364770805014514,7.865871429443359,8.305021900424151,2689583
2006-06-27,7.537255764007568,7.9166580720937745,7.474519451662371,7.528293539887716,3936830
2006-06-28,7.432695388793945,7.856909540992078,7.163827934364094,7.402821309802428,5427915
2006-06-29,7.44464635848999,7.737413099495916,7.349049298081936,7.731438283220411,1595471
2006-06-30,7.7642998695373535,7.818073216687306,7.477507197725079,7.707539114212405,5256902
2006-07-03,7.471533298492432,7.821060806595125,7.378922899409322,7.821060806595125,2659036
2006-07-04,7.381908893585205,7.671688181289893,7.337097778502956,7.629864473879794,1767423
2006-07-05,7.4954304695129395,7.61791417330033,7.286311207345467,7.435682321323969,2564109
2006-07-06,7.44464635848999,7.7344256913581635,7.24448926975437,7.432695982432728,2023760
2006-07-07,7.20266580581665,7.582067395985681,7.1698035716545405,7.582067395985681,1487300
2006-07-10,7.029394626617432,7.4685450777860565,6.939772389034529,7.4685450777860565,1758629
2006-07-11,7.053295135498047,7.271376695633165,7.005496600346532,7.223578160481651,1967208
2006-07-12,7.280337333679199,7.3400862392000485,6.763514988746642,6.8113135183583235,2859669
2006-07-13,7.3580098152160645,7.528292800270022,7.089142374529168,7.289299437047654,1545430
2006-07-14,7.184741020202637,7.349049969809886,7.127980260397229,7.349049969809886,868843
2006-07-17,6.939772605895996,7.2235771106166835,6.900935558223582,7.2235771106166835,792379
2006-07-18,6.823263168334961,7.080181780667444,6.6918171972410985,6.9308106154635425,1521017
2006-07-19,6.596220016479492,7.026408310750169,6.482697754391191,6.930810498964286,2207495
2006-07-20,6.676878452301025,6.8142999487232165,6.512570286830042,6.718702903216398,3080918
2006-07-21,6.402036666870117,6.721690797958746,6.345275173481227,6.635055225684225,1789371
2006-07-24,6.591607570648193,6.745186763944411,6.229162096350043,6.542462473418079,1832718
2006-07-25,6.462602615356445,6.877265147984922,6.3581685166969395,6.874193579331764,2758113
2006-07-26,6.656112194061279,6.788189661099914,6.146229828781592,6.450316306548865,4583511
2006-07-27,6.990912437438965,6.990912437438966,6.696041113948146,6.7574732448666035,3810717
2006-07-28,7.076916694641113,7.341072319210346,7.01855689996405,7.248925274983405,2835503
2006-07-31,7.067702293395996,7.371788316841037,7.040057414490052,7.365645180295725,1297419
2006-08-01,6.898767471313477,7.1260643603397265,6.831192947791485,6.886481958761755,1040469
2006-08-02,6.975555419921875,7.033915218563996,6.696041171205506,6.941767403624384,2502416
2006-08-03,7.132206439971924,7.248926041670977,6.975555683765849,7.10456155932796,2087684
2006-08-04,7.079990863800049,7.2458563687955335,7.03391732476027,7.156780859985295,774046
2006-08-07,7.030843734741211,7.08920353408495,6.9110525676672205,7.003199619262598,944746
2006-08-08,7.202853202819824,7.261212244792687,6.680684220397412,7.006272037778136,2186683
2006-08-09,7.2519989013671875,7.328788126683751,7.1260638073958065,7.1260638073958065,3165329
2006-08-10,7.958461761474609,7.979963508188295,7.264284897961174,7.353361160353846,13249070
2006-08-11,8.204188346862793,8.47141482586152,7.986105438545745,8.047537577480357,11752623
2006-08-14,8.3331937789917,8.422270039758908,8.222617300807519,8.293264148544031,5605112
2006-08-16,8.652639389038086,8.996655869658222,8.293264299493979,8.416127055268245,19307824
2006-08-17,8.234902381896973,8.775500712420486,8.222616108324988,8.747856596883521,4562908
2006-08-18,8.044463157653809,8.416124405771951,7.8263818348090854,8.354692282772193,2758739
2006-08-21,7.811025142669678,8.148899226289904,7.77109474983961,8.148899226289904,1891892
2006-08-22,7.685090065002441,8.10282569887809,7.626731024529094,7.811025145346408,3804193
2006-08-23,7.528439998626709,7.80181113776429,7.494652743429332,7.80181113776429,1884116
2006-08-24,7.365644931793213,7.525367241034673,7.248925341370152,7.463935113202107,3296152
2006-08-25,7.476223468780518,7.611372492051607,7.251998188446795,7.4946528810447575,8741526
2006-08-28,7.685090065002441,7.792595733264676,7.556084944882457,7.556084944882457,4560115
2006-08-29,7.6635894775390625,7.863242216456217,7.629802984774087,7.792596133183993,2338136
2006-08-30,7.491580486297607,7.728092015395928,7.371788555336402,7.6635883151312525,1421522
2006-08-31,7.36871862411499,7.672805489410746,7.316501950189212,7.672805489410746,919980
2006-09-01,7.33493185043335,7.556085578408487,7.07691853075219,7.07691853075219,4669148
2006-09-04,7.703520774841309,7.703520774841309,7.402506258882041,7.482367050098205,9360361
2006-09-05,7.903173446655273,8.090539147448341,7.709663079226922,7.709663079226922,9096352
2006-09-06,7.998391151428223,8.287119355660218,7.863241372611069,7.995319582919925,5794406
2006-09-07,7.820239067077637,8.062893732936178,7.678946921954875,8.062893732936178,5003423
2006-09-08,7.890885829925537,8.007605426973393,7.678946849781326,7.678946849781326,4383713
2006-09-11,7.648229598999023,7.924671457702772,7.559153370843754,7.771092307555403,2601584
2006-09-12,7.553011894226074,7.614443261995965,7.374860163241331,7.494652094844679,2109501
2006-09-13,7.697377681732178,7.890887287562076,7.4455082665978916,7.4455082665978916,2809798
2006-09-14,7.749594688415527,7.924674888353791,7.715807428935766,7.7526662574591425,2227407
2006-09-15,7.654374122619629,7.860169196774438,7.5591547417676095,7.860169196774438,1856897
2006-09-18,7.71580696105957,7.8448128530686425,7.648232446197675,7.648232446197675,2142031
2006-09-19,7.685090065002441,7.952318069091817,7.632874161889672,7.78338102722381,5243527
2006-09-20,7.617516994476318,7.678949144150784,7.525369916643038,7.556086373706412,1136897
2006-09-21,7.811025142669678,7.9246739482535435,7.688161631048103,7.7895241619150255,3158830
2006-09-22,7.639015197753906,7.863240436621333,7.60522871263646,7.7710933923410215,954597
2006-09-25,7.639015197753906,7.740377710914251,7.586798539328396,7.6236581214925225,2131279
2006-09-26,7.71580696105957,7.740379511918441,7.617515993171907,7.6666610948896485,1626840
2006-09-27,7.817166805267334,7.924672453211068,7.617514114330676,7.617514114330676,3297835
2006-09-28,7.875527858734131,7.924672951420014,7.77109377232459,7.838668274767679,1700185
2006-09-29,8.271761894226074,8.271761894226074,7.8018104053318025,7.9246731399697525,9359487
2006-10-03,8.210330963134766,8.686425658385076,8.139684880386653,8.563562905779664,5932393
2006-10-04,8.585063934326172,8.6219227603089,8.10896847202609,8.250262167197558,9651394
2006-10-05,9.015084266662598,9.015084266662598,8.631136669249939,8.78471509665332,5976001
2006-10-06,8.732497215270996,9.44817564511562,8.674138185436743,9.362170973294415,10625799
2006-10-09,9.048871040344238,9.137946523509747,8.33012098044188,8.784714630328603,6280760
2006-10-10,8.652639389038086,9.325314505806572,8.437628037528741,9.153305883270411,4531343
2006-10-11,8.624993324279785,8.969010522276285,8.54513254395478,8.846147018862654,5342395
2006-10-12,8.793931007385254,8.873791793636581,8.615779258218618,8.692568475767969,2510153
2006-10-13,8.717140197753906,8.999726020410309,8.661851966367594,8.876862519544211,2542801
2006-10-16,8.631136894226074,8.9075788352099,8.603492012120782,8.815431776366,2432685
2006-10-17,8.468342781066895,8.717140598186196,8.428413154350189,8.661852364260152,1701516
2006-10-18,8.409982681274414,8.538988555874488,8.302477785774354,8.465270913245874,1129968
